| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
|--|:--:|:--:|:--:|:--:|:--:|:--:|
| 1    | 0.00243  | 0.00197  | 0.00189  |0.03964  | 0.03581  | 0.04004  |
| 501  | 0.00208  |    -     | 0.00311  |0.03981  |    -     | 0.04097  |
| 1001 | 0.00205  |    -     | 0.00194  |0.03971  |    -     |    -     |
| 1501 | 0.00272  |    -     | 0.00180  |0.12424  |    -     |    -     |
| 2001 | 0.00280  |    -     | 0.00205  |0.03945  |    -     |    -     |
| 2501 | 0.00198  |    -     | 0.00180  |0.03881  |    -     |    -     |
| 3001 | 0.00195  |    -     | 0.00184  |0.03946  |    -     |    -     |
| 3501 | 0.00200  |    -     | 0.00183  |0.03946  |    -     |    -     |
| 4001 | 0.00196  |    -     | 0.00186  |0.03993  |    -     |    -     |
| 4501 | 0.00204  |    -     | 0.00184  |0.03947  |    -     |    -     |
| 5001 | 0.00260  |    -     | 0.00183  |0.03844  |    -     |    -     |
| 5501 | 0.00208  |    -     | 0.00181  |0.03947  |    -     |    -     |
| 6001 | 0.00195  |    -     | 0.00186  |0.04010  |    -     |    -     |
| 6501 | 0.00200  |    -     | 0.00178  |0.03958  |    -     |    -     |
| 7001 | 0.00203  |    -     | 0.00186  |0.03955  |    -     |    -     |
| 7501 | 0.00209  |    -     | 0.00186  |0.03774  |    -     |    -     |
| 8001 | 0.00209  |    -     | 0.00182  |0.03945  |    -     |    -     |
| 8501 | 0.00200  |    -     | 0.00184  |0.03951  |    -     |    -     |
| 9001 | 0.00200  |    -     | 0.00185  |0.03949  |    -     |    -     |
| 9501 | 0.00197  |    -     | 0.00181  |0.03949  |    -     |    -     |
| 10001 | 0.00204  |    -     | 0.00188  |0.03958  |    -     |    -     |
| 10501 | 0.00204  |    -     | 0.00185  |0.03843  |    -     |    -     |
| 11001 | 0.00207  |    -     | 0.00195  |0.03959  |    -     |    -     |
| 11501 | 0.00206  |    -     | 0.00180  |0.03963  |    -     |    -     |
| 12001 | 0.00208  |    -     | 0.00194  |0.03973  |    -     |    -     |
| 12501 | 0.00214  |    -     | 0.00192  |0.03967  |    -     |    -     |
| 13001 | 0.00213  |    -     | 0.00198  |0.03971  |    -     |    -     |
| 13501 | 0.00211  |    -     | 0.00199  |0.03966  |    -     |    -     |
| 14001 | 0.00212  |    -     | 0.00198  |0.03980  |    -     |    -     |
