| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
|--|:--:|:--:|:--:|:--:|:--:|:--:|
| 1    | 0.00267  | 0.00200  | 0.00209  |0.03885  | 0.03999  | 0.03985  |
| 2    | 0.00198  | 0.00183  | 0.00182  |0.03954  | 0.04024  | 0.03880  |
| 3    | 0.00206  | 0.00192  | 0.00195  |0.03720  | 0.03974  | 0.03990  |
| 4    | 0.00216  | 0.00197  | 0.00188  |0.03967  | 0.03890  | 0.03969  |
| 5    | 0.00218  | 0.00198  | 0.00194  |0.03977  | 0.03992  | 0.03988  |
| 6    | 0.00210  | 0.00200  | 0.00196  |0.03958  | 0.03981  | 0.03975  |
| 7    | 0.00209  | 0.00194  | 0.00192  |0.03969  | 0.03987  | 0.03981  |
| 8    | 0.00203  | 0.00196  | 0.00186  |0.03969  | 0.03971  | 0.03839  |
| 9    | 0.00227  | 0.00198  | 0.00194  |0.03964  | 0.03983  | 0.03988  |
| 10   | 0.00197  | 0.00184  | 0.00182  |0.03981  | 0.03473  | 0.03977  |
| 11   | 0.00220  | 0.00193  | 0.00180  |0.03831  | 0.03990  | 0.03982  |
| 12   | 0.00210  | 0.00188  | 0.00187  |0.03924  | 0.03974  | 0.03986  |
| 13   | 0.00210  | 0.00191  | 0.00191  |0.03703  | 0.03972  | 0.03975  |
| 14   | 0.00203  | 0.00183  | 0.00187  |0.03955  | 0.03976  | 0.03988  |
| 15   | 0.00204  | 0.00195  | 0.00196  |0.03961  | 0.03973  | 0.03972  |
| 16   | 0.00203  | 0.00186  | 0.00191  |0.03964  | 0.03987  | 0.03982  |
| 17   | 0.00208  | 0.00199  | 0.00196  |0.04005  | 0.03973  | 0.03979  |
| 18   | 0.00215  | 0.00199  | 0.00187  |0.03969  | 0.03948  | 0.04007  |
| 19   | 0.00208  | 0.00195  | 0.00186  |0.03963  | 0.03982  | 0.04016  |
| 20   | 0.00214  | 0.00191  | 0.00193  |0.03966  | 0.03864  | 0.03931  |
| 21   | 0.00206  | 0.00194  | 0.00189  |0.03962  | 0.03969  | 0.04035  |
| 22   | 0.00212  | 0.00196  | 0.00190  |0.03971  | 0.03950  | 0.04038  |
| 23   | 0.00207  | 0.00192  | 0.00192  |0.03957  | 0.03984  | 0.03986  |
| 24   | 0.00208  | 0.00192  | 0.00191  |0.03957  | 0.07680  | 0.03939  |
| 25   | 0.00212  | 0.00423  | 0.00188  |0.03959  | 0.07680  | 0.03721  |
| 26   | 0.00232  | 0.00444  | 0.00186  |0.03962  | 0.07681  | 0.03990  |
| 27   | 0.00208  | 0.00446  | 0.00179  |0.03753  | 0.12999  | 0.03976  |
| 28   | 0.00194  | 0.00432  | 0.00178  |0.03948  | 0.13168  | 0.04021  |
| 29   | 0.00196  | 0.00938  | 0.00191  |0.03897  | 0.18667  | 0.03981  |
| 30   | 0.00196  | 0.00932  | 0.00176  |0.03948  | 0.29060  | 0.03980  |
| 31   | 0.00203  | 0.01939  | 0.00183  |0.03957  | 0.45734  | 0.04008  |
| 32   | 0.00210  | 0.03956  | 0.00182  |0.03952  | 0.73006  | 0.04005  |
| 33   | 0.00207  | 0.03955  | 0.00195  |0.03953  | 1.11973  | 0.03999  |
| 34   | 0.00215  | 0.07650  | 0.00198  |0.03974  | 1.76591  | 0.03850  |
| 35   | 0.00214  | 0.13149  | 0.00207  |0.03640  | 2.80955  | 0.04042  |
| 36   | 0.00209  | 0.13093  | 0.00192  |0.04012  | 4.52685  | 0.04027  |
| 37   | 0.00200  | 0.24150  | 0.00219  |0.03994  | 7.29834  | 0.03895  |
| 38   | 0.00197  | 0.34921  | 0.00218  |0.03963  | 11.72737 | 0.04000  |
| 39   | 0.00210  | 0.56934  | 0.00284  |0.04000  | 19.00276 | 0.03996  |
| 40   | 0.00255  | 0.90192  | 0.00289  |0.04082  | 30.74107 | 0.07701  |
| 41   | 0.00272  | 1.44264  | 0.00291  |0.04010  | 49.66630 | 0.04006  |
| 42   | 0.00200  | 2.31150  | 0.00270  |0.03995  |    -     | 0.04058  |
| 43   | 0.00214  | 3.74675  | 0.00256  |0.04014  |    -     | 0.03981  |
| 44   | 0.00204  | 6.03227  | 0.00304  |0.04024  |    -     | 0.03990  |
| 45   | 0.00216  | 9.72372  | 0.00251  |0.03987  |    -     | 0.03686  |
| 46   | 0.00204  | 15.74524 | 0.00305  |0.04011  |    -     | 0.03982  |
| 47   | 0.00227  | 25.45440 | 0.00330  |0.03991  |    -     | 0.03988  |
| 48   | 0.00207  | 41.15231 | 0.00480  |0.04772  |    -     | 0.04103  |
| 49   | 0.00226  |    -     | 0.00319  |0.04452  |    -     | 0.04674  |
| 50   | 0.00224  |    -     | 0.00206  |0.04593  |    -     | 0.04740  |
| 51   | 0.00229  |    -     | 0.00206  |0.04702  |    -     | 0.04748  |
| 52   | 0.00223  |    -     | 0.00206  |0.04729  |    -     | 0.04747  |
| 53   | 0.00243  |    -     | 0.00235  |0.04790  |    -     | 0.04752  |
| 54   | 0.00226  |    -     | 0.00206  |0.04244  |    -     | 0.04745  |
| 55   | 0.00225  |    -     | 0.00208  |0.04731  |    -     | 0.04747  |
| 56   | 0.00221  |    -     | 0.00208  |0.03864  |    -     | 0.04780  |
| 57   | 0.00239  |    -     | 0.00222  |0.04741  |    -     | 0.04765  |
| 58   | 0.00239  |    -     | 0.00220  |0.04167  |    -     | 0.04747  |
| 59   | 0.00235  |    -     | 0.00214  |0.04739  |    -     | 0.04770  |
| 60   | 0.00239  |    -     | 0.00220  |0.04746  |    -     | 0.04766  |
| 61   | 0.00237  |    -     | 0.00222  |0.04357  |    -     | 0.04760  |
| 62   | 0.00231  |    -     | 0.00217  |0.04480  |    -     | 0.04416  |
| 63   | 0.00228  |    -     | 0.00218  |0.04746  |    -     | 0.04758  |
| 64   | 0.00232  |    -     | 0.00219  |0.04741  |    -     | 0.04765  |
| 65   | 0.00236  |    -     | 0.00225  |0.04748  |    -     | 0.04760  |
| 66   | 0.00236  |    -     | 0.00218  |0.04750  |    -     | 0.04765  |
| 67   | 0.00235  |    -     | 0.00219  |0.04747  |    -     | 0.04759  |
| 68   | 0.00231  |    -     | 0.00211  |0.04747  |    -     | 0.04763  |
| 69   | 0.00235  |    -     | 0.00216  |0.04746  |    -     | 0.04761  |
| 70   | 0.00238  |    -     | 0.00222  |0.04749  |    -     | 0.04763  |
| 71   | 0.00231  |    -     | 0.00218  |0.04378  |    -     | 0.04761  |
| 72   | 0.00238  |    -     | 0.00215  |0.04163  |    -     | 0.04644  |
| 73   | 0.00231  |    -     | 0.00220  |0.04732  |    -     | 0.04491  |
| 74   | 0.00230  |    -     | 0.00213  |0.04739  |    -     | 0.04764  |
| 75   | 0.00234  |    -     | 0.00218  |0.04752  |    -     | 0.04763  |
| 76   | 0.00238  |    -     | 0.00216  |0.04644  |    -     | 0.04773  |
| 77   | 0.00238  |    -     | 0.00221  |0.04747  |    -     | 0.04757  |
| 78   | 0.00233  |    -     | 0.00212  |0.04750  |    -     | 0.04763  |
| 79   | 0.00230  |    -     | 0.00209  |0.04733  |    -     | 0.04742  |
| 80   | 0.00223  |    -     | 0.00219  |0.04748  |    -     | 0.04134  |
| 81   | 0.00233  |    -     | 0.00228  |0.04745  |    -     | 0.04849  |
| 82   | 0.00232  |    -     | 0.00219  |0.04741  |    -     | 0.04638  |
| 83   | 0.00236  |    -     | 0.00216  |0.04748  |    -     | 0.04773  |
| 84   | 0.00236  |    -     | 0.00215  |0.04746  |    -     | 0.04756  |
| 85   | 0.00233  |    -     | 0.00219  |0.04422  |    -     | 0.04760  |
| 86   | 0.00232  |    -     | 0.00218  |0.04752  |    -     | 0.04610  |
| 87   | 0.00239  |    -     | 0.00217  |0.04747  |    -     | 0.04765  |
| 88   | 0.00239  |    -     | 0.00210  |0.04704  |    -     | 0.04759  |
| 89   | 0.00233  |    -     | 0.00218  |0.04749  |    -     | 0.04762  |
| 90   | 0.00244  |    -     | 0.00220  |0.04739  |    -     | 0.04757  |
| 91   | 0.00237  |    -     | 0.00218  |0.04745  |    -     | 0.04762  |
| 92   | 0.00243  |    -     | 0.00221  |0.04745  |    -     | 0.04730  |
| 93   | 0.00242  |    -     | 0.00219  |0.04301  |    -     | 0.04755  |
| 94   | 0.00236  |    -     | 0.00224  |0.04743  |    -     | 0.04750  |
| 95   | 0.00230  |    -     | 0.00209  |0.04529  |    -     | 0.04754  |
| 96   | 0.00231  |    -     | 0.00206  |0.04438  |    -     | 0.04425  |
| 97   | 0.00226  |    -     | 0.00205  |0.04728  |    -     | 0.04746  |
| 98   | 0.00223  |    -     | 0.00204  |0.04725  |    -     | 0.04743  |
| 99   | 0.00222  |    -     | 0.00206  |0.04727  |    -     | 0.04240  |
| 100  | 0.00222  |    -     | 0.00206  |0.04413  |    -     | 0.04738  |
| 101  | 0.00223  |    -     | 0.00206  |0.04251  |    -     | 0.04740  |
| 102  | 0.00227  |    -     | 0.00205  |0.04668  |    -     | 0.04742  |
| 103  | 0.00222  |    -     | 0.00205  |0.04721  |    -     | 0.04744  |
| 104  | 0.00224  |    -     | 0.00204  |0.04726  |    -     | 0.04559  |
| 105  | 0.00228  |    -     | 0.00208  |0.04731  |    -     | 0.04071  |
| 106  | 0.00242  |    -     | 0.00223  |0.04742  |    -     | 0.04758  |
| 107  | 0.00244  |    -     | 0.00221  |0.04745  |    -     | 0.04760  |
| 108  | 0.00237  |    -     | 0.00222  |0.04736  |    -     | 0.04754  |
| 109  | 0.00234  |    -     | 0.00217  |0.04749  |    -     | 0.04759  |
| 110  | 0.00231  |    -     | 0.00225  |0.04747  |    -     | 0.04761  |
| 111  | 0.00221  |    -     | 0.00210  |0.04741  |    -     | 0.04762  |
| 112  | 0.00235  |    -     | 0.00228  |0.04753  |    -     | 0.04767  |
| 113  | 0.00234  |    -     | 0.00213  |0.04747  |    -     | 0.04768  |
| 114  | 0.00226  |    -     | 0.00216  |0.04746  |    -     | 0.04756  |
| 115  | 0.00235  |    -     | 0.00223  |0.04742  |    -     | 0.04765  |
| 116  | 0.00235  |    -     | 0.00217  |0.04742  |    -     | 0.04762  |
| 117  | 0.00231  |    -     | 0.00219  |0.04705  |    -     | 0.04764  |
| 118  | 0.00240  |    -     | 0.00218  |0.04739  |    -     | 0.04768  |
| 119  | 0.00241  |    -     | 0.00223  |0.04748  |    -     | 0.04761  |
| 120  | 0.00235  |    -     | 0.00217  |0.04744  |    -     | 0.04763  |
| 121  | 0.00241  |    -     | 0.00222  |0.04740  |    -     | 0.04757  |
| 122  | 0.00240  |    -     | 0.00220  |0.04654  |    -     | 0.04764  |
| 123  | 0.00245  |    -     | 0.00223  |0.04740  |    -     | 0.04768  |
| 124  | 0.00243  |    -     | 0.00220  |0.04745  |    -     | 0.04760  |
| 125  | 0.00237  |    -     | 0.00215  |0.04749  |    -     | 0.04763  |
| 126  | 0.00241  |    -     | 0.00221  |0.04741  |    -     | 0.04764  |
| 127  | 0.00230  |    -     | 0.00218  |0.04133  |    -     | 0.04756  |
| 128  | 0.00230  |    -     | 0.00219  |0.04744  |    -     | 0.04756  |
| 129  | 0.00235  |    -     | 0.00221  |0.04095  |    -     | 0.04681  |
| 130  | 0.00237  |    -     | 0.00225  |0.04741  |    -     | 0.04771  |
| 131  | 0.00232  |    -     | 0.00218  |0.04739  |    -     | 0.04763  |
| 132  | 0.00239  |    -     | 0.00216  |0.04686  |    -     | 0.04248  |
| 133  | 0.00223  |    -     | 0.00209  |0.04738  |    -     | 0.04430  |
| 134  | 0.00227  |    -     | 0.00216  |0.04741  |    -     | 0.04760  |
| 135  | 0.00223  |    -     | 0.00208  |0.04731  |    -     | 0.04750  |
| 136  | 0.00237  |    -     | 0.00217  |0.04738  |    -     | 0.04736  |
| 137  | 0.00240  |    -     | 0.00215  |0.04743  |    -     | 0.04766  |
| 138  | 0.00227  |    -     | 0.00233  |0.04749  |    -     | 0.04765  |
| 139  | 0.00241  |    -     | 0.00219  |0.04747  |    -     | 0.04756  |
| 140  | 0.00235  |    -     | 0.00217  |0.04744  |    -     | 0.04766  |
| 141  | 0.00242  |    -     | 0.00221  |0.04746  |    -     | 0.04432  |
| 142  | 0.00252  |    -     | 0.00231  |0.03616  |    -     | 0.04777  |
| 143  | 0.00238  |    -     | 0.00220  |0.04751  |    -     | 0.04768  |
| 144  | 0.00239  |    -     | 0.00217  |0.04728  |    -     | 0.04763  |
| 145  | 0.00239  |    -     | 0.00221  |0.04743  |    -     | 0.04743  |
| 146  | 0.00225  |    -     | 0.00208  |0.04730  |    -     | 0.04749  |
| 147  | 0.00222  |    -     | 0.00207  |0.04726  |    -     | 0.04372  |
| 148  | 0.00228  |    -     | 0.00207  |0.04731  |    -     | 0.04750  |
| 149  | 0.00225  |    -     | 0.00206  |0.04728  |    -     | 0.04253  |
| 150  | 0.00223  |    -     | 0.00203  |0.04722  |    -     | 0.04737  |
| 151  | 0.00222  |    -     | 0.00204  |0.04726  |    -     | 0.04744  |
| 152  | 0.00221  |    -     | 0.00205  |0.04726  |    -     | 0.04150  |
| 153  | 0.00227  |    -     | 0.00206  |0.04727  |    -     | 0.04747  |
| 154  | 0.00232  |    -     | 0.00209  |0.04737  |    -     | 0.04179  |
| 155  | 0.00279  |    -     | 0.00227  |0.04739  |    -     | 0.04410  |
| 156  | 0.00227  |    -     | 0.00207  |0.04729  |    -     | 0.04749  |
| 157  | 0.00251  |    -     | 0.00219  |0.04377  |    -     | 0.04475  |
| 158  | 0.00249  |    -     | 0.00222  |0.04745  |    -     | 0.04772  |
| 159  | 0.00235  |    -     | 0.00220  |0.04639  |    -     | 0.04767  |
| 160  | 0.00237  |    -     | 0.00215  |0.04747  |    -     | 0.04759  |
| 161  | 0.00242  |    -     | 0.00221  |0.04743  |    -     | 0.04764  |
| 162  | 0.00233  |    -     | 0.00219  |0.04571  |    -     | 0.04659  |
| 163  | 0.00232  |    -     | 0.00219  |0.04365  |    -     | 0.04412  |
| 164  | 0.00227  |    -     | 0.00223  |0.04739  |    -     | 0.04694  |
| 165  | 0.00239  |    -     | 0.00221  |0.04740  |    -     | 0.04756  |
| 166  | 0.00231  |    -     | 0.00220  |0.04744  |    -     | 0.04753  |
| 167  | 0.00244  |    -     | 0.00223  |0.04736  |    -     | 0.04757  |
| 168  | 0.00239  |    -     | 0.00225  |0.04752  |    -     | 0.04767  |
| 169  | 0.00234  |    -     | 0.00222  |0.04742  |    -     | 0.04761  |
| 170  | 0.00242  |    -     | 0.00221  |0.04744  |    -     | 0.04472  |
| 171  | 0.00241  |    -     | 0.00217  |0.04738  |    -     | 0.04767  |
| 172  | 0.00236  |    -     | 0.00218  |0.04745  |    -     | 0.04764  |
| 173  | 0.00241  |    -     | 0.00220  |0.04671  |    -     | 0.04762  |
| 174  | 0.00229  |    -     | 0.00211  |0.04743  |    -     | 0.04773  |
| 175  | 0.00241  |    -     | 0.00223  |0.04737  |    -     | 0.04763  |
| 176  | 0.00234  |    -     | 0.00221  |0.04742  |    -     | 0.04772  |
| 177  | 0.00241  |    -     | 0.00219  |0.04742  |    -     | 0.04761  |
| 178  | 0.00229  |    -     | 0.00222  |0.04747  |    -     | 0.04759  |
| 179  | 0.00242  |    -     | 0.00225  |0.04745  |    -     | 0.04764  |
| 180  | 0.00241  |    -     | 0.00222  |0.04744  |    -     | 0.04762  |
| 181  | 0.00228  |    -     | 0.00225  |0.04748  |    -     | 0.04414  |
| 182  | 0.00233  |    -     | 0.00217  |0.04743  |    -     | 0.04761  |
| 183  | 0.00231  |    -     | 0.00212  |0.04392  |    -     | 0.04763  |
| 184  | 0.00230  |    -     | 0.00211  |0.04738  |    -     | 0.04767  |
| 185  | 0.00236  |    -     | 0.00221  |0.04666  |    -     | 0.04755  |
| 186  | 0.00229  |    -     | 0.00218  |0.04742  |    -     | 0.04760  |
| 187  | 0.00231  |    -     | 0.00215  |0.04745  |    -     | 0.04758  |
| 188  | 0.00234  |    -     | 0.00220  |0.04739  |    -     | 0.04763  |
| 189  | 0.00234  |    -     | 0.00217  |0.04748  |    -     | 0.03926  |
| 190  | 0.00225  |    -     | 0.00208  |0.04731  |    -     | 0.04752  |
| 191  | 0.00223  |    -     | 0.00209  |0.04403  |    -     | 0.04763  |
| 192  | 0.00241  |    -     | 0.00221  |0.04750  |    -     | 0.04757  |
| 193  | 0.00238  |    -     | 0.00224  |0.04747  |    -     | 0.04771  |
| 194  | 0.00232  |    -     | 0.00227  |0.04750  |    -     | 0.04769  |
| 195  | 0.00237  |    -     | 0.00223  |0.04740  |    -     | 0.04784  |
